# assembly_accession	refseq_category	taxid	organism_name	infraspecific_name	assembly_level	seq_rel_date	ftp_path	strain_name	assembly_level_int	refseq_category_int
GCF_000008665.1	representative genome	224325	Archaeoglobus fulgidus DSM 4304	DSM 4304	Complete Genome	1999/12/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/665/GCF_000008665.1_ASM866v1	Archaeoglobus fulgidus DSM 4304	4	1
GCF_000734035.1	na	1344584	Archaeoglobus fulgidus DSM 8774	DSM 8774	Complete Genome	2014/07/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/035/GCF_000734035.1_ASM73403v1	Archaeoglobus fulgidus DSM 8774	4	0
GCF_000025285.1	representative genome	572546	Archaeoglobus profundus DSM 5631	DSM 5631	Complete Genome	2010/01/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/285/GCF_000025285.1_ASM2528v1	Archaeoglobus profundus DSM 5631	4	1
GCF_000385565.1	representative genome	387631	Archaeoglobus sulfaticallidus PM70-1	PM70-1	Complete Genome	2013/04/30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/565/GCF_000385565.1_ASM38556v1	Archaeoglobus sulfaticallidus PM70-1	4	1
GCF_000194625.1	representative genome	693661	Archaeoglobus veneficus SNP6	SNP6	Complete Genome	2011/03/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/625/GCF_000194625.1_ASM19462v1	Archaeoglobus veneficus SNP6	4	1
GCF_000317795.1	representative genome	1056495	Caldisphaera lagunensis DSM 15908	DSM 15908	Complete Genome	2012/12/10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/795/GCF_000317795.1_ASM31779v1	Caldisphaera lagunensis DSM 15908	4	1
GCF_000018305.1	representative genome	397948	Caldivirga maquilingensis IC-167	IC-167	Complete Genome	2007/10/05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/305/GCF_000018305.1_ASM1830v1	Caldivirga maquilingensis IC-167	4	1
GCF_001663375.1	na	1650354	Caldivirga sp. MU80	MU80	Contig	2016/06/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/375/GCF_001663375.1_ASM166337v1	Caldivirga sp. MU80	1	0
GCF_000632495.1	na	1160895	Candidatus Acidianus copahuensis	ALE1	Contig	2014/04/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/495/GCF_000632495.1_AciCop1.0	Candidatus Acidianus copahuensis ALE1	1	0
GCF_000495475.1	na	1324957	Candidatus Halobonum tyrrellensis G22	G22	Contig	2013/11/05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/495/475/GCF_000495475.1_Htyrrel1.0	Candidatus Halobonum tyrrellensis G22	1	0
GCF_000019605.1	na	374847	Candidatus Korarchaeum cryptofilum OPF8		Complete Genome	2008/03/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/605/GCF_000019605.1_ASM1960v1	Candidatus Korarchaeum cryptofilum OPF8	4	0
GCF_000404225.1	na	1295009	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	Issoire-Mx1	Complete Genome	2013/06/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/404/225/GCF_000404225.1_ASM40422v1	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	4	0
GCF_000300255.2	na	1236689	Candidatus Methanomethylophilus alvus Mx1201	Mx1201	Complete Genome	2013/04/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/255/GCF_000300255.2_ASM30025v2	Candidatus Methanomethylophilus alvus Mx1201	4	0
GCF_001481295.1	na	1769296	Candidatus Methanomethylophilus sp. 1R26	1R26	Contig	2015/12/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/295/GCF_001481295.1_ASM148129v1	Candidatus Methanomethylophilus sp. 1R26	1	0
GCF_900196725.1	na	1392998	Candidatus Methanoperedens nitroreducens		Contig	2017/09/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/196/725/GCF_900196725.1_MNV_PRJEB20370_wgs	Candidatus Methanoperedens nitroreducens	1	0
GCF_000685155.1	na	1392998	Candidatus Methanoperedens nitroreducens	ANME-2d	Scaffold	2014/05/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/155/GCF_000685155.1_ANME2D_V10	Candidatus Methanoperedens nitroreducens ANME-2d	2	0
GCF_002487355.1	na	2035255	Candidatus Methanoperedens sp. BLZ2		Contig	2017/10/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/487/355/GCF_002487355.1_ASM248735v1	Candidatus Methanoperedens sp. BLZ2	1	0
GCF_000800805.1	na	1577791	Candidatus Methanoplasma termitum	MpT1	Complete Genome	2014/12/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/805/GCF_000800805.1_ASM80080v1	Candidatus Methanoplasma termitum MpT1	4	0
GCF_002214165.1	na	1920749	Candidatus Micrarchaeota archaeon Mia14	Mia14	Complete Genome	2017/07/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/165/GCF_002214165.1_ASM221416v1	Candidatus Micrarchaeota archaeon Mia14	4	0
GCF_000220175.1	na	1001994	Candidatus Nitrosoarchaeum koreensis MY1	MY1	Contig	2011/07/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/175/GCF_000220175.1_ASM22017v1	Candidatus Nitrosoarchaeum koreensis MY1	1	0
GCF_000241145.1	na	859192	Candidatus Nitrosoarchaeum limnia BG20	BG20	Contig	2012/01/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/241/145/GCF_000241145.1_ASM24114v2	Candidatus Nitrosoarchaeum limnia BG20	1	0
GCF_002906215.1	na	2045011	Candidatus Nitrosocaldus islandicus		Complete Genome	2018/01/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/215/GCF_002906215.1_ASM290621v1	Candidatus Nitrosocaldus islandicus	4	0
GCF_002156965.1	na	1898749	Candidatus Nitrosomarinus catalina	SPOT01	Complete Genome	2017/05/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/965/GCF_002156965.1_ASM215696v1	Candidatus Nitrosomarinus catalina SPOT01	4	0
GCF_000812185.1	na	1410606	Candidatus Nitrosopelagicus brevis	CN25	Complete Genome	2014/12/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/185/GCF_000812185.1_ASM81218v1	Candidatus Nitrosopelagicus brevis CN25	4	0
GCF_000956175.1	na	1580092	Candidatus Nitrosopumilus adriaticus	NF5	Complete Genome	2015/03/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/175/GCF_000956175.1_ASM95617v1	Candidatus Nitrosopumilus adriaticus NF5	4	0
GCF_000242875.2	na	859350	Candidatus Nitrosopumilus salaria BD31	BD31	Contig	2012/05/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/875/GCF_000242875.2_ASM24287v3	Candidatus Nitrosopumilus salaria BD31	1	0
GCF_000299395.1	na	1229909	Candidatus Nitrosopumilus sediminis	AR2	Complete Genome	2012/09/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/395/GCF_000299395.1_ASM29939v1	Candidatus Nitrosopumilus sediminis AR2	4	0
GCF_000685395.1	na	1353246	Candidatus Nitrosotenuis chungbukensis	MY2	Contig	2014/05/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/395/GCF_000685395.1_NKMY2	Candidatus Nitrosotenuis chungbukensis MY2	1	0
GCF_000955905.1	na	1603555	Candidatus Nitrosotenuis cloacae	SAT1	Complete Genome	2015/04/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/955/905/GCF_000955905.1_ASM95590v3	Candidatus Nitrosotenuis cloacae SAT1	4	0
GCF_002787055.1	na	1846278	Candidatus Nitrosotenuis sp. AQ6f	AQ6F	Complete Genome	2017/11/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/787/055/GCF_002787055.1_ASM278705v1	Candidatus Nitrosotenuis sp. AQ6f AQ6F	4	0
GCF_900090055.1	representative genome	1673428	Cuniculiplasma divulgatum	PM4 (=JCM 30641; =VKM B-2940)	Complete Genome	2017/01/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/055/GCF_900090055.1_C.divulgatum_PM4	Cuniculiplasma divulgatum PM4 (=JCM 30641; =VKM B-2940)	4	1
GCF_000020905.1	representative genome	490899	Desulfurococcus amylolyticus 1221n	1221n	Complete Genome	2008/12/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/905/GCF_000020905.1_ASM2090v1	Desulfurococcus amylolyticus 1221n	4	1
GCF_000231015.2	na	768672	Desulfurococcus amylolyticus DSM 16532	DSM 16532	Complete Genome	2012/06/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/015/GCF_000231015.2_ASM23101v3	Desulfurococcus amylolyticus DSM 16532	4	0
GCF_000513855.1	na	1150674	Desulfurococcus amylolyticus Z-533	Z-533	Scaffold	2014/01/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/855/GCF_000513855.1_ASM51385v1	Desulfurococcus amylolyticus Z-533	2	0
GCF_001006085.1	na	675631	Desulfurococcus mucosus DSM 2161	DSM 2161	Scaffold	2015/05/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/085/GCF_001006085.1_ASM100608v1	Desulfurococcus mucosus DSM 2161	2	0
GCF_000186365.1	representative genome	765177	Desulfurococcus mucosus DSM 2162	DSM 2162	Complete Genome	2011/01/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/365/GCF_000186365.1_ASM18636v1	Desulfurococcus mucosus DSM 2162	4	1
GCF_000025505.1	representative genome	589924	Ferroglobus placidus DSM 10642	DSM 10642	Complete Genome	2010/02/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/505/GCF_000025505.1_ASM2550v1	Ferroglobus placidus DSM 10642	4	1
GCF_000152265.2	representative genome	333146	Ferroplasma acidarmanus fer1	fer1	Complete Genome	2013/06/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/265/GCF_000152265.2_ASM15226v2	Ferroplasma acidarmanus fer1	4	1
GCF_002078355.1	na	74969	Ferroplasma acidiphilum	Y	Complete Genome	2017/04/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/355/GCF_002078355.1_ASM207835v1	Ferroplasma acidiphilum Y	4	0
GCF_000789255.1	representative genome	565033	Geoglobus acetivorans	SBH6	Complete Genome	2014/12/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/255/GCF_000789255.1_ASM78925v1	Geoglobus acetivorans SBH6	4	1
GCF_001006045.1	representative genome	113653	Geoglobus ahangari	234	Complete Genome	2015/05/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/045/GCF_001006045.1_ASM100604v1	Geoglobus ahangari 234	4	1
GCF_000710615.1	representative genome	1455608	Haladaptatus cibarius D43	D43	Contig	2014/06/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/615/GCF_000710615.1_HAPD43.1	Haladaptatus cibarius D43	1	1
GCF_900156425.1	na	553468	Haladaptatus litoreus	CGMCC 1.7737	Scaffold	2017/01/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/156/425/GCF_900156425.1_IMG-taxon_2681812914_annotated_assembly	Haladaptatus litoreus CGMCC 1.7737	2	0
GCF_000376445.1	representative genome	797209	Haladaptatus paucihalophilus DX253	DX253	Contig	2013/04/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/445/GCF_000376445.1_ASM37644v1	Haladaptatus paucihalophilus DX253	1	1
GCF_001625445.1	na	1679489	Haladaptatus sp. R4	R4	Contig	2016/04/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/625/445/GCF_001625445.1_ASM162544v1	Haladaptatus sp. R4	1	0
GCF_001723155.1	na	1897478	Haladaptatus sp. W1	W1	Contig	2016/09/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/155/GCF_001723155.1_ASM172315v1	Haladaptatus sp. W1	1	0
GCF_000196895.1	representative genome	795797	Halalkalicoccus jeotgali B3	B3	Complete Genome	2010/06/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1	Halalkalicoccus jeotgali B3	4	1
GCF_001593955.1	representative genome	1008153	Halalkalicoccus paucihalophilus	DSM 24557	Contig	2016/03/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/955/GCF_001593955.1_ASM159395v1	Halalkalicoccus paucihalophilus DSM 24557	1	1
GCF_001011115.1	representative genome	1604004	Halanaeroarchaeum sulfurireducens	HSR2	Complete Genome	2015/05/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/011/115/GCF_001011115.1_ASM101111v1	Halanaeroarchaeum sulfurireducens HSR2	4	1
GCF_001305655.1	na	1604004	Halanaeroarchaeum sulfurireducens	M27-SA2	Complete Genome	2015/10/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/655/GCF_001305655.1_ASM130565v1	Halanaeroarchaeum sulfurireducens M27-SA2	4	0
GCF_000755225.1	representative genome	1457250	Halapricum salinum	CBA1105	Contig	2014/09/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/225/GCF_000755225.1_ASM75522v1	Halapricum salinum CBA1105	1	1
GCF_000400975.1	na	1261545	Halarchaeum acidiphilum MH1-52-1	MH1-52-1	Contig	2013/05/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/975/GCF_000400975.1_ASM40097v1	Halarchaeum acidiphilum MH1-52-1	1	0
GCF_000474235.1	representative genome	1261545	Halarchaeum acidiphilum MH1-52-1	JCM 16109	Contig	2013/09/13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/474/235/GCF_000474235.1_ASM47423v1	Halarchaeum acidiphilum MH1-52-1 JCM 16109	1	1
GCF_900103505.1	representative genome	996166	Haloarchaeobius iranensis	EB21,IBRC-M 10013,KCTC 4048	Scaffold	2016/10/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/505/GCF_900103505.1_IMG-taxon_2651870127_annotated_assembly	Haloarchaeobius iranensis EB21,IBRC-M 10013,KCTC 4048	2	1
GCF_000336615.1	na	1227452	Haloarcula amylolytica JCM 13557	JCM 13557	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/615/GCF_000336615.1_ASM33661v1	Haloarcula amylolytica JCM 13557	1	0
GCF_000336895.1	na	1230451	Haloarcula argentinensis DSM 12282	DSM 12282	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/895/GCF_000336895.1_ASM33689v1	Haloarcula argentinensis DSM 12282	1	0
GCF_000337755.1	na	662475	Haloarcula californiae ATCC 33799	ATCC 33799	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/755/GCF_000337755.1_ASM33775v1	Haloarcula californiae ATCC 33799	1	0
GCF_000223905.1	representative genome	634497	Haloarcula hispanica ATCC 33960	CGMCC 1.2049	Complete Genome	2011/08/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/905/GCF_000223905.1_ASM22390v1	Haloarcula hispanica ATCC 33960 CGMCC 1.2049	4	1
GCF_000504565.1	na	1417673	Haloarcula hispanica N601	N601	Complete Genome	2014/01/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/565/GCF_000504565.1_ASM50456v2	Haloarcula hispanica N601	4	0
GCF_000336635.1	na	1227453	Haloarcula japonica DSM 6131	DSM 6131	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/635/GCF_000336635.1_ASM33663v1	Haloarcula japonica DSM 6131	1	0
GCF_000011085.1	na	272569	Haloarcula marismortui ATCC 43049	ATCC 43049	Complete Genome	2004/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/085/GCF_000011085.1_ASM1108v1	Haloarcula marismortui ATCC 43049	4	0
GCF_001280425.1	na	1705562	Haloarcula rubripromontorii	SL3	Contig	2015/09/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/425/GCF_001280425.1_ASM128042v1	Haloarcula rubripromontorii SL3	1	0
GCF_000337275.1	na	662476	Haloarcula sinaiiensis ATCC 33800	ATCC 33800	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/275/GCF_000337275.1_ASM33727v1	Haloarcula sinaiiensis ATCC 33800	1	0
GCF_000827835.1	na	1592728	Haloarcula sp. CBA1115	CBA1115	Complete Genome	2015/01/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/835/GCF_000827835.1_ASM82783v1	Haloarcula sp. CBA1115	4	0
GCF_001485575.1	na	1765055	Haloarcula sp. CBA1127	CBA1127	Contig	2015/12/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/485/575/GCF_001485575.1_ASM148557v1	Haloarcula sp. CBA1127	1	0
GCF_001485555.1	na	1765056	Haloarcula sp. CBA1128	CBA1128	Contig	2015/12/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/485/555/GCF_001485555.1_ASM148555v1	Haloarcula sp. CBA1128	1	0
GCF_001647155.1	na	1622207	Haloarcula sp. K1	K1	Scaffold	2016/04/30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/155/GCF_001647155.1_ASM164715v1	Haloarcula sp. K1	2	0
GCF_002844335.1	na	1932004	Haloarcula taiwanensis	Taiwanensis	Complete Genome	2017/12/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/335/GCF_002844335.1_ASM284433v1	Haloarcula taiwanensis Taiwanensis	4	0
GCF_000337775.1	representative genome	662477	Haloarcula vallismortis ATCC 29715	ATCC 29715	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/775/GCF_000337775.1_ASM33777v1	Haloarcula vallismortis ATCC 29715	1	1
GCF_900106715.1	na	28442	Haloarcula vallismortis	DSM 3756	Scaffold	2016/10/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/715/GCF_900106715.1_IMG-taxon_2693429892_annotated_assembly	Haloarcula vallismortis DSM 3756	2	0
GCF_001488575.1	representative genome	1407499	Halobacterium hubeiense	JI20-1	Complete Genome	2015/12/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/488/575/GCF_001488575.1_Halobacterium_hubeiense_JI20-1	Halobacterium hubeiense JI20-1	4	1
GCF_900003515.1	na	1407499	Halobacterium hubeiense	JI20-2	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/515/GCF_900003515.1_ASM90000351v1	Halobacterium hubeiense JI20-2	2	0
GCF_900003505.1	na	1407499	Halobacterium hubeiense	JI20-3	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/505/GCF_900003505.1_ASM90000350v1	Halobacterium hubeiense JI20-3	2	0
GCF_900003575.1	na	1407499	Halobacterium hubeiense	JI20-4	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/575/GCF_900003575.1_ASM90000357v1	Halobacterium hubeiense JI20-4	2	0
GCF_900005775.1	na	1407499	Halobacterium hubeiense	JI20-5	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/775/GCF_900005775.1_ASM90000577v1	Halobacterium hubeiense JI20-5	2	0
GCF_900003565.1	na	1407499	Halobacterium hubeiense	JI20-6	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/565/GCF_900003565.1_ASM90000356v1	Halobacterium hubeiense JI20-6	2	0
GCF_900003525.1	na	1407499	Halobacterium hubeiense	JI20-7	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/525/GCF_900003525.1_ASM90000352v1	Halobacterium hubeiense JI20-7	2	0
GCF_900004275.1	na	1407499	Halobacterium hubeiense	JI20-8	Scaffold	2016/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/004/275/GCF_900004275.1_ASM90000427v1	Halobacterium hubeiense JI20-8	2	0
GCF_900110535.1	representative genome	355548	Halobacterium jilantaiense	CGMCC 1.5337	Contig	2016/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/535/GCF_900110535.1_IMG-taxon_2617270915_annotated_assembly	Halobacterium jilantaiense CGMCC 1.5337	1	1
GCF_000006805.1	representative genome	64091	Halobacterium salinarum NRC-1	NRC-1; ATCC 700922	Complete Genome	2001/01/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/805/GCF_000006805.1_ASM680v1	Halobacterium salinarum NRC-1 NRC-1; ATCC 700922	4	1
GCF_000069025.1	na	478009	Halobacterium salinarum R1	DSM 671 = R1	Complete Genome	2008/02/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/025/GCF_000069025.1_ASM6902v1	Halobacterium salinarum R1 DSM 671 = R1	4	0
GCF_001485535.1	na	1765057	Halobacterium sp. CBA1132	CBA1132	Contig	2015/12/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/485/535/GCF_001485535.1_ASM148553v1	Halobacterium sp. CBA1132	1	0
GCF_000230955.2	na	751944	Halobacterium sp. DL1	DL1	Complete Genome	2014/01/13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/955/GCF_000230955.2_ASM23095v3	Halobacterium sp. DL1	4	0
GCF_900129775.1	representative genome	43928	Halobaculum gomorrense	DSM 9297	Scaffold	2016/12/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/775/GCF_900129775.1_IMG-taxon_2695420988_annotated_assembly	Halobaculum gomorrense DSM 9297	2	1
GCF_900107195.1	representative genome	660517	Halobellus clavatus	CGMCC 1.10118	Contig	2016/10/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/195/GCF_900107195.1_IMG-taxon_2617270777_annotated_assembly	Halobellus clavatus CGMCC 1.10118	1	1
GCF_900108165.1	na	699433	Halobellus limi	CGMCC 1.10331	Scaffold	2016/10/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/165/GCF_900108165.1_IMG-taxon_2619618869_annotated_assembly	Halobellus limi CGMCC 1.10331	2	0
GCF_000739575.1	representative genome	1448860	Halobellus rufus	CBA1103	Contig	2014/07/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/575/GCF_000739575.1_ASM73957v1	Halobellus rufus CBA1103	1	1
GCF_900112205.1	na	148448	Halobiforma haloterrestris	DSM 13078	Scaffold	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/205/GCF_900112205.1_IMG-taxon_2693429869_annotated_assembly	Halobiforma haloterrestris DSM 13078	2	0
GCF_000226975.2	representative genome	358396	Halobiforma lacisalsi AJ5	AJ5	Complete Genome	2017/01/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/975/GCF_000226975.2_ASM22697v3	Halobiforma lacisalsi AJ5	4	1
GCF_000337895.1	representative genome	1227454	Halobiforma nitratireducens JCM 10879	JCM 10879	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/895/GCF_000337895.1_ASM33789v1	Halobiforma nitratireducens JCM 10879	1	1
GCF_000334895.1	representative genome	1232219	Halococcus agarilyticus	197A	Contig	2013/01/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/895/GCF_000334895.1_ASM33489v1	Halococcus agarilyticus 197A	1	1
GCF_000336675.1	representative genome	1132509	Halococcus hamelinensis 100A6	100A6	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/675/GCF_000336675.1_ASM33667v1	Halococcus hamelinensis 100A6	1	1
GCF_000336695.1	representative genome	931277	Halococcus morrhuae DSM 1307	DSM 1307	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/695/GCF_000336695.1_ASM33669v1	Halococcus morrhuae DSM 1307	1	1
